avion,voiture,oiseau,chat,cerf,chien,grenouille,cheval,bateau,camion,target-0,target-1,target-2,target-3,target-4,target-5,target-6,target-7,target-8,target-9,instance_id
-12.750945,-12.741065,-9.0497265,-7.3774858,-14.879595,-7.379873,-10.059804,-13.6640215,-14.230258,-13.618359,0.0,0.019607844,0.019607844,0.9411765,0.0,0.019607844,0.0,0.0,0.0,0.0,0
-10.487377,-11.169855,-11.596737,-11.870557,-15.831795,-13.349793,-13.5040455,-14.111368,-3.6210861,-13.000071,0.0,0.0,0.019607844,0.0,0.0,0.0,0.0,0.0,0.98039216,0.0,1
-7.648127,-7.481579,-10.76838,-11.270457,-14.627734,-11.833695,-11.59485,-12.134459,-1.8373251,-10.727652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2
-10.550058,-12.855901,-6.099011,-12.774188,-13.971121,-11.317951,-10.637555,-12.4887295,-11.112309,-14.611923,0.74509805,0.0,0.15686275,0.0,0.019607844,0.0,0.019607844,0.0,0.039215688,0.019607844,3
-18.52044,-13.503358,-8.779964,-11.263039,-16.014507,-11.432956,-1.0910082,-13.420415,-15.219519,-16.567507,0.0,0.0,0.019607844,0.0,0.0,0.0,0.98039216,0.0,0.0,0.0,4
-15.879849,-12.167118,-8.046015,-10.932104,-12.503525,-8.461357,-1.4564276,-13.331281,-16.188858,-14.518131,0.0,0.0,0.0,0.1509434,0.0,0.0,0.8490566,0.0,0.0,0.0,5
-11.811653,-1.9659548,-9.833672,-12.243874,-15.257505,-10.803368,-14.464337,-13.991769,-13.252895,-10.565422,0.0,0.9807692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01923077,6
-15.020896,-12.451331,-8.113819,-8.647783,-14.447957,-8.033609,-1.1510849,-10.904602,-13.8769865,-14.568268,0.0,0.0,0.02,0.0,0.0,0.0,0.98,0.0,0.0,0.0,7
-14.109728,-14.001026,-8.853569,-7.298996,-13.737658,-8.380556,-9.54267,-13.428697,-15.270464,-14.984214,0.0,0.0,0.0,0.98039216,0.0,0.019607844,0.0,0.0,0.0,0.0,8
-12.252,-4.4239874,-12.297123,-10.733471,-15.660419,-11.437878,-14.183321,-12.203077,-12.616062,-7.0235357,0.0,0.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,9
-7.151338,-13.346,-7.167036,-12.32762,-12.605147,-6.053643,-11.376591,-11.11676,-12.896755,-16.175762,0.98214287,0.017857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
-11.033786,-6.9686923,-11.535776,-12.133548,-16.632896,-12.005587,-15.526358,-16.547983,-13.75502,-3.3031359,0.0,0.019607844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.98039216,11
